A0- G0:aa G1:88 G2:88 G3:55 A1- G0:a8 G1:88 G2:80 G3:15 A2- G0:88 G1:80 G2:00 G3:11 
A0- G0:80808000 G1:80040000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80828082 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:a5d585d5 G2:a482a482 G3:55955595 
A0- G0:80808080 G1:85d585d5 G2:a482a483 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8001 G2:a200 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808080 G1:81d581d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:a000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808400 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15150515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88c88888 G3:15151515 
A0- G0:8080 G1:81d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85f5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:8a888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:808080c0 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15151515 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000000 G2:88888888 G3:15351515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:9000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:a082 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:82000000 G2:88888888 G3:15151515 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:9000 G2:a000 G3:1515 A2- G0:95ea G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:85d5 G2:a482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1515 A2- G0:95aa G1:85d5 G2:a482 G3:5597 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:90009000 G2:a000a000 G3:15151515 A2- G0:95ea95ea G1:85d585d5 G2:a482a482 G3:55955595 
A0- G0:8080 G1:85d5 G2:8482 G3:5595 A1- G0:8080 G1:8000 G2:a000 G3:1514 A2- G0:95aa G1:85d5 G2:a482 G3:5595 
A0- G0:8080 G1:8585 G2:a4a4 G3:5555 A1- G0:8080 G1:8080 G2:a0a0 G3:1515 A2- G0:9595 G1:8585 G2:a4a4 G3:5555 
A0- G0:80808000 G1:80000000 G2:80000000 G3:15151515 A1- G0:80808000 G1:80000000 G2:80808080 G3:15151515 A2- G0:80808000 G1:80000010 G2:88888888 G3:15151515 
A0- G0:80808080 G1:85d585d5 G2:a482a482 G3:55955595 A1- G0:80808080 G1:80008000 G2:8000a000 G3:15151515 A2- G0:95aa95aa G1:85d585d5 G2:a482a482 G3:55955595 
